timestamp,title,score
1546894822.0,"From Goldman’s 1MDB Scandal to Bitcoin, Here’s a Look Ahead at 2019",-0.4404
1385240086.0,"A Bitcoin Puzzle: Heads, It’s Excitement. Tails, It’s Anxiety.",0.3612
1374601882.0,S.E.C. Says  Texas Man Operated Bitcoin Ponzi Scheme,0.0
1459124816.0,"Ethereum, a Virtual Currency, Enables Transactions That Rival Bitcoin’s",0.0
1326693701.0,"‘Good Wife’ Watch: Jason Biggs, Jim Cramer and Bitcoin Get in on the Action",0.0
1515777216.0,Blockchain or Blockheads? Bitcoin Mania Mints Believers and Skeptics,-0.1027
1408482000.0,Owner of Winn-Dixie and Bi-Lo Supermarkets Pulls I.P.O.,0.0
1612826350.0,"Impeachment Trial, Child Tax Credit, Bitcoin: Your Monday Evening Briefing",0.3818
1610541970.0,Tens of billions worth of Bitcoin have been locked by people who forgot their key.,0.2263
1421762388.0,"Coinbase, a Bitcoin Start-Up, Raises $75 Million in Vote of Confidence",0.5106
1404383580.0,Daily Report: Winner of Bitcoin Auction Seeks to Increase Currency’s Use in Emerging Markets,0.7269
1393591850.0,"Daily Report: Mt. Gox, Having Lost Essentially All Bitcoins, Files for Bankruptcy",-0.3182
1551369339.0,Facebook and Telegram Are Hoping to Succeed Where Bitcoin Failed,0.4019
1512340534.0,"In South Korea, the Virtual Currency Boom Hits Home",0.0
1510927208.0,Mike and Nathaniel’s Week in Tech: Everybody Loves Bitcoin,0.5719
1521008972.0,Google Bans Bitcoin Advertisements in Policy Change,0.0
1560844811.0,Facebook Plans Global Financial System Based on Cryptocurrency,0.0
1512607318.0,Coinbase: The Heart of the Bitcoin Frenzy,-0.3182
1534752007.0,After the Bitcoin Boom: Hard Lessons for Cryptocurrency Investors,-0.1027
1516144288.0,"Stephen Bannon, California, Bitcoin: Your Tuesday Evening Briefing",0.0
1571385613.0,China’s Cryptocurrency Plan Has a Powerful Partner: Big Brother,0.4215
